"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"VGLL4",0.0836943507882116,-0.838825435623538,0.08,0.122,1
"WASH1",0.0839414707821296,-0.699214823391888,0.095,0.141,1
"TPP2",0.0839756926952443,-0.300672789987231,0.191,0.258,1
"PPP1R3E",0.0839777939558686,0.56409946720629,0.131,0.092,1
"ACADS",0.0843507284938108,-1.22804074048278,0.045,0.079,1
"TAP1",0.0843648761429321,-0.337347628128726,0.332,0.398,1
"CHKB",0.0844495270087831,-0.314679941210648,0.095,0.147,1
"CTNNA1",0.0844668738115139,-0.631171138261173,0.095,0.142,1
"SFSWAP",0.0845012438388562,0.456848364334524,0.266,0.221,1
"IMPA1",0.0845248096633611,0.583044181761399,0.126,0.087,1
"EIF3L",0.0846141088475477,0.144991602300152,0.794,0.786,1
"EBPL",0.0846190359075706,0.419043882514728,0.251,0.208,1
"DIAPH2",0.0846297521271584,-0.422430619638965,0.09,0.138,1
