"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"CAPRIN2",0.173543459845121,-1.80399213058315,0.031,0.125,1,0.590543821663073,0.5063491125453,0.05,0.042,1,0.590543821663073,0.316969587235227
"TUBGCP5",0.173543459845121,-1.9534818695164,0.031,0.125,1,0.233767659961811,0.478461922092579,0.055,0.037,1,0.233767659961811,0.316969587235227
"MINK1",0.173543459845121,-1.67429124513214,0.031,0.125,1,0.88880208087013,0.214878192417009,0.161,0.163,1,0.88880208087013,0.316969587235227
"SPIDR",0.59024025155462,-0.477392486921238,0.036,0,1,0.173598841731873,0.471113636244838,0.206,0.172,1,0.59024025155462,0.317061125613098
"SREK1",0.829630727727898,0.759566937403439,0.135,0.125,1,0.17365156735486,0.301428003702073,0.271,0.238,1,0.829630727727898,0.31714826786492
"GGH",0.786151024891202,-1.816211464302,0.01,0,1,0.173701839328952,0.903166557205625,0.03,0.016,1,0.786151024891202,0.317231349671642
"IARS2",0.191826037040822,-0.935932242966879,0.089,0.25,1,0.173830040503143,-0.389334638892803,0.161,0.204,1,0.191826037040822,0.317443198024961
"PLRG1",0.752156493789779,-0.142058976161041,0.083,0.125,1,0.174050929168834,0.522775232552446,0.176,0.146,1,0.752156493789779,0.317808132393134
"ANAPC13",0.324729605775149,-0.485112829362758,0.109,0.25,1,0.174252693637436,-0.220626109291919,0.181,0.233,1,0.324729605775149,0.31814138603497
"MKS1",0.733460415261334,-1.60977556601246,0.016,0,1,0.17436906346783,1.38288939316268,0.035,0.02,1,0.733460415261334,0.318333556641011
"MAP3K7CL",0.733460415261334,-1.40308597593088,0.016,0,1,0.174416866506136,-0.869459961445084,0.02,0.04,1,0.733460415261334,0.318412489690452
"OSGIN2",0.59024025155462,-0.716935450760428,0.036,0,1,0.174424584577116,-1.23241012319822,0.015,0.033,1,0.59024025155462,0.318425233449332
"SNAP23",0.605149517564222,0.260529559988847,0.328,0.625,1,0.174582816025725,0.476752646559983,0.342,0.31,1,0.605149517564222,0.318686472399978
"RP11-370I10.12",0.690276148773906,-1.03531125872888,0.021,0,1,0.175028368461571,-1.00422327908365,0.01,0.026,1,0.690276148773906,0.319421807156823
"BOD1",0.439249849553103,-0.259182259986879,0.125,0.25,1,0.175095218254279,0.618606544558889,0.111,0.082,1,0.439249849553103,0.319532101053045
"DNAJC27",0.733460415261334,-1.31440539415225,0.016,0,1,0.175109317250557,0.973887320087705,0.106,0.079,1,0.733460415261334,0.319555361513157
"PJA1",0.59024025155462,-0.133477297704574,0.036,0,1,0.175111608630021,0.438151985230585,0.075,0.051,1,0.59024025155462,0.319559141783048
"MRPL40",0.183182361437633,-1.03729451171958,0.172,0.375,1,0.175422174381121,0.466887354906674,0.236,0.201,1,0.183182361437633,0.320071409497641
